nomeLocalidade;SIGLA_UF;Exportação_2020_Valor US$ FOB;Exportação_2020_Quilograma Líquido;Importação_2020_Valor US$ FOB;Importação_2020_Quilograma Líquido;Exportação_2019_Valor US$ FOB;Exportação_2019_Quilograma Líquido;Importação_2019_Valor US$ FOB;Importação_2019_Quilograma Líquido;Exportação_2018_Valor US$ FOB;Exportação_2018_Quilograma Líquido;Importação_2018_Valor US$ FOB;Importação_2018_Quilograma Líquido;Exportação_2017_Valor US$ FOB;Exportação_2017_Quilograma Líquido;Importação_2017_Valor US$ FOB;Importação_2017_Quilograma Líquido;Exportação_2016_Valor US$ FOB;Exportação_2016_Quilograma Líquido;Importação_2016_Valor US$ FOB;Importação_2016_Quilograma Líquido;Exportação_2015_Valor US$ FOB;Exportação_2015_Quilograma Líquido;Importação_2015_Valor US$ FOB;Importação_2015_Quilograma Líquido
Morro Agudo;SP;288069181;819596948;0;0;164903875;516700633;506;10;87050691;267086333;0;0;1287304;1679931;1750;39;1298951;3853223;0;0;63042119;150759355;0;0
Nova Ubiratã;MT;281719689;1176325630;0;0;225034767;986037169;0;0;110000045;448755878;0;0;179850458;585794124;0;0;134316615;552062864;0;0;86292208;287368077;0;0
São Félix do Araguaia;MT;278565476;1089206865;0;0;257306174;1025857176;0;0;89776778;257613087;41224;35088;167346424;614347834;0;0;105962184;298730160;0;0;113151549;341157037;0;0
Ipiranga do Norte;MT;247238603;983593289;0;0;220865050;941807188;0;0;141664696;527871434;0;0;164752705;704015333;0;0;139515040;548544437;0;0;139618306;543878273;0;0
Bom Jesus;PI;221959280;765363727;0;0;124264332;400179280;0;0;40237536;98882303;2914972;305309;157674506;423449296;0;0;68301170;197554580;886962;2132;153237627;427853432;0;0
Porto Franco;MA;189885022;636770507;0;0;211161127;700869288;0;0;59635980;169258989;18220;92;149272464;425913378;12518;35;133623378;349342905;2045;27;201735856;576605987;1435595;65265
Santa Carmem;MT;186059858;751956153;0;0;137502734;624924217;0;0;72988562;239515719;0;0;102163173;409876292;0;0;162984666;490913237;0;0;29525542;102773459;0;0
Santa Rita do Trivelato;MT;181629323;736664474;0;0;209780657;876736801;0;0;111619076;339864549;24839;97;318510215;1229104643;0;0;99722429;457588975;0;0;74950778;254011152;0;0
Alto Araguaia;MT;168217707;302812125;0;0;136993370;375894628;48310111;164452773;58476179;176309773;152499454;498879878;67038335;247397704;140641996;568699146;66458715;290366910;142955623;523694261;49640045;215336697;223349814;645885155
Anapurus;MA;166427310;547786303;0;0;92927876;271095826;0;0;41222245;107001649;0;0;27787441;90316539;0;0;3005015;7267741;0;0;22101915;60570941;0;0
Brasnorte;MT;144845969;497513905;0;0;245709418;896059310;90826;41732;90083009;306318884;21600;83;108984648;374403423;0;0;109756253;332973125;0;0;59496528;173677177;13442;1600
Manhumirim;MG;135868187;73779615;0;0;89525989;47160112;0;0;85950302;38057875;0;0;24838254;9519580;0;0;17726247;7184175;0;0;34014184;12921180;0;0
Água Boa;MT;135656608;445837304;0;0;115600824;378106167;4740;698;41379942;99614746;0;0;114537112;365274583;0;0;77286259;218065028;0;0;91954531;262935229;0;0
Guaraí;TO;128127042;394287521;0;0;108498943;331608456;0;0;86089108;222208570;22517;82;92770644;253473731;0;0;40421995;115760966;0;0;104286667;308348277;0;0
Matipó;MG;124635645;60182403;0;0;126183201;68239378;0;0;118344348;54032297;0;0;118127785;47122438;0;0;152733304;64649440;0;0;139623066;59101380;0;0
Alto Garças;MT;117811651;496418646;0;0;104046189;444834667;0;0;89863691;330857784;0;0;93834869;340202749;10336;387;72502837;258261928;334397;26671;87267905;335637750;0;0
Estrela d'Oeste;SP;114655080;26622687;0;0;172820229;38232802;0;0;107942521;25548904;0;0;57211619;13018203;953;7;45056124;10913056;35071;25581;36692833;9568689;38807;40003
Paranatinga;MT;105664754;107462116;0;0;107173948;107512459;0;0;101533901;48529188;26221;226;111226902;62993485;641;22;84043813;38974467;0;0;70442700;114080634;0;0
Colômbia;SP;99236851;293278801;0;0;40090573;146479587;0;0;18327841;65265606;0;0;0;0;0;0;487703;1796128;0;0;20645018;50646467;0;0
Araputanga;MT;98812526;25521279;0;0;96068097;26640332;0;0;97708817;24579271;0;0;111876652;26157129;0;0;86118230;21926248;0;0;85780984;20095986;158133;21606
Antônio João;MS;97361501;298021085;0;0;19225139;61997026;0;0;49837833;139951010;0;0;22996717;73861566;0;0;5564461;14636957;0;0;0;0;0;0
Santo Inácio;PR;96993254;304004359;0;0;52957389;175949166;0;0;89983775;255273772;6280;4413;113486234;258120063;39100;23650;107482002;346785574;12948;10624;89407131;240368033;608742;22750
Pirajuba;MG;90566349;309417480;0;0;68182223;247743960;0;0;87366822;285452272;0;0;132387978;309041407;0;0;88197509;264982322;101458;6270;75330873;232987673;0;0
Campo Florido;MG;87889692;298438486;0;0;43721880;152960030;0;0;82537586;217045195;0;0;107748610;226762500;0;0;70156340;195914770;4200;3;56593069;162860533;0;0
Campos Lindos;TO;82339049;268067444;0;0;74303536;235848304;0;0;44134336;115859741;0;0;111713081;342038136;0;0;70041598;203484485;0;0;128759710;386945575;0;0
Nanuque;MG;82118067;17447362;0;0;100510997;19777025;0;0;77050411;16944025;0;0;52139569;11878494;0;0;50870075;12130265;261946;1095496;50193955;11340600;0;0
São Geraldo do Araguaia;PA;81503447;18372115;0;0;22149607;5185016;0;0;11697722;3755961;0;0;12531027;3553948;0;0;3494263;1022196;0;0;0;0;0;0
Cruzeiro do Oeste;PR;81442632;19215087;0;0;94441900;23263666;13028;456;88444834;21682404;0;0;77689844;19305465;8022;5;67790709;17863023;47504;4544;33602774;9235872;244810;13099
Albertina;MG;78874339;37403645;0;0;71332670;34995929;0;0;64674152;28480952;0;0;67713849;25184250;153829;17180;66841399;27459700;0;0;63725744;24613420;0;0
Mendonça;SP;76891812;257952767;0;0;45060631;162185090;0;0;59555894;205037610;0;0;80323436;191150626;53603;22810;70893808;209217966;0;0;46682314;159288935;107345;38394
São José do Xingu;MT;76233918;276523990;0;0;72943729;277176990;0;0;39778642;122884299;0;0;55482692;192035602;0;0;28138172;65477593;0;0;23333786;61533835;0;0
Espera Feliz;MG;73466620;36749280;0;0;49541986;25835400;27003;4697;18759418;8685700;0;0;36501032;14055000;2516;550;66901213;29777400;3153;136;117047587;47958100;0;0
Edéia;GO;68614882;252306738;0;0;33649026;149930290;0;0;43417810;180269896;0;0;72158144;220887160;23077;407;88045831;294955095;129441;431;38034978;137625608;0;0
Chupinguaia;RO;67363867;18427016;0;0;89077170;25931896;0;0;97860163;26962263;28481;203;69843175;17978968;0;0;44227263;13150883;0;0;18972540;5813401;0;0
Iguatemi;MS;67062137;15090209;0;0;33029547;9727312;0;0;14859129;4384250;0;0;9461147;2492063;0;0;7179934;1867857;0;0;2536858;886588;0;0
São Luís do Quitunde;AL;61419748;186139561;0;0;56051456;195802301;0;0;62430824;199205548;0;0;68183943;174191739;0;0;89481954;248476589;0;0;79133891;239417520;0;0
Queiroz;SP;60826799;257685264;0;0;54726858;227582273;0;0;28858742;128906947;0;0;8066105;25963092;0;0;67791876;240715123;0;0;47958109;165531526;0;0
Florestópolis;PR;60676325;203040494;0;0;46563031;157315730;109480;20643;52504462;163336059;179580;59562;60856887;160076264;157115;45326;38794615;141890623;294477;128492;53154610;177712026;534617;167837
Mirandópolis;SP;59621609;170613709;0;0;39690513;106254656;2216;62;15088353;41794229;1621;27;0;0;0;0;0;0;0;0;781;25;23586;15372
Carmo do Paranaíba;MG;59085272;22884185;0;0;52078000;21765530;0;0;58792255;21417940;0;0;52958438;15996685;0;0;48596986;14548970;3187;365;56776398;16813200;0;0
Planalto;SP;59012697;204615093;0;0;41551901;144261277;0;0;52520145;184288608;0;0;55398689;118908397;0;0;47202442;102468935;0;0;14426151;41073765;0;0
Dores do Rio Preto;ES;58026910;36194640;0;0;41008460;23839100;0;0;49725913;23722200;0;0;25959836;10271200;0;0;17734370;7880200;0;0;13877059;7000100;0;0
São Luiz Gonzaga;RS;57737389;19001834;0;0;26029355;10124962;299911;2864;9119737;5281950;103729;330;15213999;7467094;6359;138;13203045;7609617;0;0;16355894;9473555;30357;0
