nomeLocalidade,estado,População residente,Densidade demográfica,Porcentagem de Jovens,Porcentagem de Ativos,Porcentagem de Idosos,Taxa de Urbanização,Taxa de Saneamento Básico,Ativos com Baixo Nível Educacional,Ativos com Médio Nível Educacional,Ativos com Alto Nível Educacional,Percentual de estrangeiros ao total de Trabalhadores,PIB Municipal,Estudantes Ensino primário,Estudantes Ensino secundário,Estudantes Ensino superior,Óbitos até 1 ano de idade por milhares de habitantes,Óbitos por milhares de habitantes,Nascidos por milhares de habitantes,Hospitais por milhares de habitantes,Médicos por milhares de habitantes,% de pobres,IDH,Percentual de trabalhadores especializados,"Valores de Importação por 10,000 habitantes","Valores de Exportação por 10,000 habitantes","Número de hotéis por 10,000 habitantes",Percentual de empresas do setor primário em relação ao total,Percentual de empresas do setor secundário em relação ao total,Percentual de empresas do setor terciário em relação ao total,Percentual de trabalhadores do setor primário em relação ao total,Percentual de trabalhadores do setor secundário em relação ao total,Percentual de trabalhadores do setor terciário em relação ao total,Média Salarial,Produtividade,Taxa de desemprego dos jovens,Taxa de desemprego,"Número de trabalhadores(Comerciais, hotéis e restaurantes) por 1,000 habitantes","Número de ativos culturais e de lazer por 10,000 habitantes",cat_export,cat_import
Brasiléia,Acre,21398,5.46,51.88,42.76,5.37,70.02,21.27,70.67,21.29,8.04,2.0,190633284.1,4839,1297,309,0.1,4.2,25.0,0.0,0.14,35.22,0.77,8.55,14731.75,2119542.01,0.93,9.23,6.92,83.85,2.53,17.7,33.83,818.65,2376384.22,11.13,5.96,14.58,0.0,media,media
Epitaciolândia,Acre,15100,9.13,51.81,43.38,4.81,72.06,4.72,64.29,24.87,10.84,9.73,145086236.0,3141,922,42,0.3,1.7,19.0,0.0,0.33,29.44,0.77,12.93,218857.62,2141544.37,1.99,3.19,11.7,85.11,0.54,4.64,47.28,810.69,2376713.0,15.22,7.12,27.88,0.0,media,media
Rio Branco,Acre,336038,38.03,49.4,46.24,4.36,91.13,46.62,47.47,34.84,17.69,0.94,5125379270.0,70679,24276,16097,0.4,6.1,19.5,0.04,2.27,14.38,0.8,23.06,72769.06,375337.19,1.22,3.29,20.31,76.29,1.9,13.77,37.23,1217.69,3671618.13,21.63,9.59,37.26,0.86,media,media
Arapiraca,Alagoas,214006,607.97,46.99,46.77,6.24,85.09,10.8,66.36,24.85,8.79,0.0,1904856706.0,42985,11297,6459,0.2,9.1,20.9,0.07,0.51,26.65,0.78,11.03,304447.59,36054.08,1.26,0.81,9.87,89.32,3.18,20.09,60.5,788.02,2237986.12,16.92,8.54,36.13,0.37,media,media
Coruripe,Alagoas,52130,58.01,51.22,44.04,4.74,88.99,13.39,72.22,23.01,4.77,0.43,702437153.6,12448,3369,0,0.2,4.8,20.0,0.02,0.63,33.79,0.77,2.34,2230306.54,20482761.94,1.73,10.87,13.04,76.09,3.46,72.32,7.52,1084.48,3845073.58,21.31,10.96,10.38,0.19,media,media
Maceió,Alagoas,932748,1829.36,43.35,51.19,5.46,99.93,31.21,48.89,32.45,18.66,0.64,12261905208.0,161338,44868,51283,0.2,7.2,17.9,0.06,0.51,15.57,0.8,18.51,2049580.65,6019842.06,1.58,0.69,12.97,86.31,0.27,17.7,53.65,1026.15,3147093.45,28.4,12.26,45.26,1.06,media,media
Marechal Deodoro,Alagoas,45977,138.62,48.78,46.35,4.87,94.81,11.24,62.4,28.93,8.67,2.18,909010347.5,10231,2024,373,0.2,3.1,15.7,0.0,0.24,32.01,0.79,8.48,3515386.39,9477.13,5.66,4.31,17.82,77.87,2.04,49.79,28.1,1302.88,5649170.65,18.78,11.57,15.2,0.65,media,media
Murici,Alagoas,26710,62.34,53.14,41.41,5.45,82.62,67.32,80.96,15.01,4.04,0.0,140635094.6,6620,935,0,0.1,1.4,17.4,0.0,0.3,42.57,0.69,5.03,143581.06,173597.9,0.37,9.42,13.04,77.54,21.1,5.03,16.2,662.52,2140243.53,25.45,15.6,6.96,0.37,media,media
Palmeira dos Índios,Alagoas,70368,155.5,44.82,46.59,8.59,74.55,6.14,66.85,23.02,10.14,0.0,443149516.8,16784,5322,2504,0.0,6.7,19.8,0.03,1.13,30.72,0.79,17.21,14739.65,4786.27,1.14,0.19,10.9,88.91,0.14,12.83,45.79,864.72,1736134.49,14.43,8.16,19.48,0.43,media,media
Penedo,Alagoas,60378,87.52,47.9,45.18,6.93,75.88,11.18,64.18,27.01,8.81,0.23,401287886.3,11713,3688,949,0.2,4.9,17.6,0.05,0.43,36.82,0.77,9.67,18868.63,398.32,1.32,2.08,7.39,90.53,1.2,41.7,32.97,877.82,1929991.34,25.27,12.63,20.72,1.49,media,media
Pilar,Alagoas,33305,133.06,49.21,45.05,5.74,95.52,9.97,68.29,28.21,3.5,0.0,323180063.3,7236,1411,0,0.1,3.3,16.8,0.03,0.45,35.27,0.77,15.92,58621.23,91939.95,0.9,6.17,12.33,81.5,19.01,12.12,28.19,2114.96,3353195.02,27.22,15.64,13.03,0.0,media,media
